Signal,TargetFrequency_Hz,NoSuppressionPSD,SuppressedPSD,PSDReductionPercent,NoSuppressionFFTAmplitude,SuppressedFFTAmplitude,FFTAmplitudeReductionPercent
Acceleration X,10,385597.303222179,373784.681055766,3.06346078349148,1349.62855009757,1328.79508206953,1.54364458476613
Acceleration Y,10,392428.079751131,385656.24083851,1.72562547433294,1361.53026777588,1349.73168988838,0.86656743274393
Jerk X,10,1471199545.66449,1425575572.36696,3.10114106764015,83364.8655099691,82062.054421407,1.56278197126869
Jerk Y,10,1489761512.40511,1467369781.06288,1.50304133619875,83889.1198576238,83256.2888526107,0.754366008473045
Modal response X,10,0.249109871543445,0.245881106612467,1.29612082852163,1.08478265307348,1.07772967781083,0.65017404570936
Modal response Y,10,0.126880191374995,0.111007275638079,12.5101606207413,0.774183971095277,0.724140745769317,6.46399656856257
