Signal,TargetFrequency_Hz,NoSuppressionPSD,SuppressedPSD,PSDReductionPercent,NoSuppressionFFTAmplitude,SuppressedFFTAmplitude,FFTAmplitudeReductionPercent
Acceleration X,10,400674.750234701,273104.042140423,31.8389686446555,1369.83943489501,1130.93525089754,17.4403056235402
Acceleration Y,10,400333.619218507,245249.659705335,38.7386799579592,1369.25617600085,1071.71148238426,21.730389012056
Jerk X,10,1503727096.76383,996610579.277645,33.7239728257576,83918.5922556299,68318.2012945165,18.5899102234604
Jerk Y,10,1504931764.97857,918869324.511501,38.9427915673913,83952.2000232498,65599.503705302,21.8608878777032
Modal response X,10,0.257609413962598,0.228155382080017,11.4336007483242,1.09838486981819,1.03368695624406,5.89027720172811
Modal response Y,10,0.114523740013382,0.0505064269433898,55.89872725298,0.732354641323794,0.48634784949503,33.5912108625523
