Signal,TargetFrequency_Hz,NoSuppressionPSD,SuppressedPSD,PSDReductionPercent,NoSuppressionFFTAmplitude,SuppressedFFTAmplitude,FFTAmplitudeReductionPercent
Acceleration X,10,405944.985831304,243183.286015794,40.094521547594,1377.63599877829,1066.27138226489,22.6013705209156
Acceleration Y,10,407058.352762968,246849.057562977,39.3578203499689,1379.52389514028,1074.27786838915,22.1269111630782
Jerk X,10,1517686376.08289,877187769.450881,42.2023032377163,84234.8699723293,64039.3884417284,23.9752035436571
Jerk Y,10,1521503388.79026,919408775.65776,39.5723478217962,84340.7296766475,65562.4560459893,22.2647749226879
Modal response X,10,0.259672640248051,0.219898492214465,15.3170345538105,1.10182846747745,1.01393944304356,7.97665217664079
Modal response Y,10,0.11573520443022,0.0496626570902364,57.0894117008457,0.735586302518392,0.481854443124182,34.4938260168141
