time,x,y,vx,vy,ax,ay,jx,jy,snapx,snapy,cracklex,crackley,POPx,POPy,contour_error,allowed_error,error_utilisation,modal_x,modal_y
0,0,0,0,2.73915203615383e-27,-1.36438531046408e-26,0,0,0,0,0,0,0,0,0,0,0.1,0,2.07757783577752e-27,-4.13356660753687e-27
0.001,8.37377462250002e-30,-1.4541193528106e-29,-1.36438531046407e-29,2.73915203615383e-27,-1.82395815493449e-29,4.2594411773033e-33,5.03987000136544e-19,-1.07304942031992e-29,-4.58026281674519e-15,-7.60450122944429e-27,-1.77947818565124e-18,1.51766281468163e-23,199999955626.512,-199928405957.746,1.4541193528106e-29,0.1,1.4541193528106e-28,2.73331309820374e-27,1.27433553570086e-26
0.002,2.77777716147935e-10,-2.77678341607981e-10,1.66666629688761e-06,-1.66607004964788e-06,0.00833333148443802,-0.00833035024823941,33.3333259377521,-33.3214009929576,99999.9778132562,-99964.2029788729,199999955.626512,-199928405.957746,199999937229.336,-199889239921.882,2.77678341607981e-10,0.1,2.77678341607981e-09,1.0961515989413e-10,-1.09575945243518e-10
0.003,1.77777738079162e-08,-1.77713594656387e-08,5.33333213470935e-05,-5.33139152051001e-05,0.133333302984459,-0.13328397205367,266.66660443582,-266.564680271017,399999.902054437,-399837.22889756,399999892.855848,-399817645.879628,199999904597.855,-199805527963.555,1.77713594656387e-08,0.1,1.77713594656387e-07,7.01137065105117e-09,-7.0088408883745e-09
0.004,2.02499953391218e-07,-2.02423913340199e-07,0.000404999904965845,-0.000404843880188553,0.67499983661505,-0.674728771418553,899.999770351158,-899.61165343565,899999.747209213,-899557.638758965,599999797.453704,-599623173.843183,199999835328.422,-199539647445.113,2.02423913340199e-07,0.0999999999999985,2.02423913340202e-06,7.98071320699423e-08,-7.97771629380912e-08
0.005,1.13777750371801e-06,-1.13732302127352e-06,0.00170666624147965,-0.00170595188075693,2.13333277328512,-2.1323705918511,2133.33272217529,-2132.23748702373,1599999.46232713,-1598950.6363247,799999632.782125,-799162821.288295,199999616272.819,131606954176.934,1.13732302127352e-06,0.0999999999999515,1.13732302127407e-05,4.48027109926039e-07,-4.47848128404128e-07
0.006,4.34027667065108e-06,-4.33793295838119e-06,0.00520833193440846,-0.00520313471510955,5.20833181609903,-5.19179357749452,4166.66527027229,-4108.83504162976,2499998.90324566,-2332309.98052453,999999249.054945,-667555867.111361,169230507069.038,199344910189.559,4.33793295838119e-06,0.0999999999992936,4.33793295841184e-05,1.7073931962424e-06,-1.70647048005031e-06
0.007,1.29599537152361e-05,-1.29242359826599e-05,0.0129597397591208,-0.0128642177637178,10.7987143506312,-10.5697368826472,7194.86888255693,-6741.69880401171,3584613.40583513,-2900193.39254111,1169229756.12398,-468210956.921802,-199999452901.164,199596925356.327,1.29242359826599e-05,0.0999999999937015,0.00012924235983474,5.09246237276199e-06,-5.07838360836651e-06
0.008,3.26770201596248e-05,-3.23214045864149e-05,0.0280003753630673,-0.0273060150959548,19.9724282515888,-18.8312510038599,11330.7639243039,-9842.73152078767,4653843.43550852,-3268605.88678475,969230303.222818,-268614031.565475,-199999658768.43,199664392422.313,3.23214045864149e-05,0.0999999999599584,0.000323214045993569,1.28237194194227e-05,-1.26835916516442e-05
0.009,7.2753779587573e-05,-7.08216534883206e-05,0.0544525440815373,-0.0516129278893844,33.783318958402,-30.3447351236166,16435.8892349624,-13212.3670246181,5523073.90934713,-3437387.72213907,769230644.454388,-68949639.1431615,-199999700630.984,199679107795.995,7.08216534883206e-05,0.0999999998015131,0.000708216536288923,2.8510947316128e-05,-2.7750198621023e-05
0.01,0.00014707355857837,-0.000139952531846937,0.0974047045883254,-0.0891379533880659,53.1006169345874,-45.2789676530033,22310.2451830982,-16650.9497150294,6192304.70348602,-3406497.80738423,569230943.823403,130729468.652833,-199999676840.167,199663949973.548,0.000139952531846937,0.0999999991888911,0.00139952532982105,5.75450043457064e-05,-5.47440522423497e-05
0.011,0.00027500942434102,-0.000254645698032704,0.162714546190395,-0.143303034605704,78.5935529735309,-63.6030586957005,28753.8320790226,-19958.8054630917,6661535.80888934,-3175936.36374463,369231266.983236,330393418.626381,-199999552389.203,199620388441.482,0.000254645698032704,0.0999999971641281,0.0025464570525413,0.000107414501150996,-9.941454211638e-05
0.012,0.00048209341550679,-0.000433206029716235,0.256808989144774,-0.217399388864562,110.731358186812,-85.0864492547083,35566.650262672,-22936.2750527828,6930767.29967798,-2745732.7508975,169231714.594033,530013807.067863,-199998755570.28,199536977363.422,0.000433206029716235,0.0999999912858733,0.00433206067466361,0.000187934784797845,-0.00016875652413501
0.013,0.000800485773247808,-0.000697081067331819,0.386484185011347,-0.314387851054038,149.783264103607,-109.298941007705,42548.7002937186,-25383.7447372525,6999999.63648687,-2115950.45514793,-30767040.9762473,729550784.431285,61528148598.9191,199379530612.069,0.000697081067331819,0.0999999759772564,0.00697081234789857,0.000311388345394847,-0.000270888731002552
0.014,0.00126924453607519,-0.001070430821109,0.558707696642425,-0.436699263394121,195.829400048265,-135.610761694684,49543.5711011505,-27101.6898784161,6999996.66981008,-1286709.90541061,30761107.6226718,928930315.043354,-61518575009.3159,199040073787.427,0.001070430821109,0.0999999396137457,0.0107043146750247,0.00049257645756923,-0.00041484936965088
0.015,0.00193441603201994,-0.00157949800904575,0.780476317410926,-0.586034957581841,248.875533061632,-163.192691470224,56548.695228937,-27890.7612806738,6999998.48992809,-258259.553473541,-30757467.3866442,1127970388.83078,61509286943.7485,197974942328.595,0.00157949800904575,0.0999998597667796,0.0157950022402978,0.000748790174655525,-0.000610309945649675
0.016,0.00284904639422092,-0.00225177885867244,1.05879209551826,-0.763167424393926,308.921664177925,-191.016338506899,63543.5665329958,-27552.0398160105,6999995.66601332,968698.306521537,30751819.5571043,1325945331.15938,-61498353164.0893,36862196285.8489,0.00225177885867244,0.0999996958991228,0.0225178570637253,0.00109974046256477,-0.000867208700229834
0.017,0.00407318175358718,-0.00311499499578446,1.40065297774656,-0.967742778183976,375.967791415805,-217.861502356277,70548.6883832603,-25914.2251445283,6999998.30898838,2313074.73582384,-30746533.606985,1362807527.44522,61484412041.6504,-197511609242.505,0.00311499499578446,0.0999993786893574,0.0311501434970013,0.00156747450808073,-0.00119530551288295
0.018,0.0056738682375423,-0.00419588010214895,1.81306101100336,-1.19812074293965,450.013916381793,-242.400285195371,77543.5608274521,-22952.6652465223,6999993.98140222,3577126.45864781,30737878.4346655,1165295918.20272,-61467524516.3836,-198554795715.579,0.00419588010214895,0.0999987950539408,0.041959306608501,0.0021762829540709,-0.00160366561726671
0.019,0.00772515197073445,-0.00551886794992949,2.30301414197801,-1.45135427364188,531.060036032831,-263.37844434269,84548.6791606523,-18825.9832947257,6999998.09757869,4643144.97899274,-30729646.0817182,966741122.487139,61444285455.6766,-198828918103.885,0.00551886794992949,0.0999977678387812,0.0551899114270945,0.00295259852389896,-0.00210010849015296
0.02,0.010308079073102,-0.0071048478652263,2.87751441557456,-1.72333322816298,619.106152813153,-279.73001616576,91543.5531494327,-13732.6059075067,6999990.59422481,5510471.64242793,30714639.3739584,767912204.383254,-61414769703.0463,-198859092815.294,0.0071048478652263,0.0999960290727226,0.0710513000477175,0.0039248864577053,-0.00269068962511305
0.021,0.0135106956608731,-0.00897009914306313,3.54355977804836,-2.00898079615934,714.152261417522,-290.587686680189,98548.665268394,-7871.32134502305,6999997.84874725,6178954.30040354,-30700130.3290879,569053111.567959,61365368215.6702,-198673262271.354,0.00897009914306313,0.0999931856191971,0.0897071044143334,0.00512352721187451,-0.00337926109866522
0.022,0.0174280478431473,-0.01112542374685,4.30815227061417,-2.30245226285952,816.198365812244,-295.282966742344,105543.540613346,-1440.95269921409,6999980.40252599,6648670.78083582,30665237.8865824,370379849.296606,-61296173789.188,-197937843482.286,0.01112542374685,0.0999886760373189,0.111266837283631,0.00658069190384962,-0.00416712008009506
0.023,0.02216218172303,-0.0135754778123297,5.17828983705031,-2.59733381114297,925.244453492593,-293.346101486402,112548.63760585,5359.91836568966,6999997.55351798,6920081.70839128,-30630935.9026057,172442005.814319,29705060572.6195,-187198904853.75,0.0135754778123297,0.0999817174791493,0.135779602057354,0.00833021101169868,-0.00505274665448604
0.024,0.0278221433456582,-0.0163183018407321,6.16097424685792,-2.88684098140243,1041.28922243008,-284.505201886583,119538.270534846,12335.0212595125,6984219.14790168,6998924.26177873,-925875.329986134,-14756899.0394309,33410335998.1942,3473073307.18594,0.0163183018407321,0.0999712415168957,0.163229960868039,0.0104074368434338,-0.00603163172269901
0.025,0.034523976296639,-0.0193450480825075,7.2631968809214,-3.16401277121081,1164.32084032365,-268.673033267967,126527.595134416,19327.1459173227,6999998.44057079,6985903.89939289,32484460.6682081,-11283825.7322449,-199992461387.044,-196621275637.903,0.0193450480825075,0.0999558179309985,0.19353598902929,0.0128490994248122,-0.00709619483949995
0.026,0.0423907131897829,-0.0226398854671539,8.49194787213437,-3.42186002287358,1294.34551573591,-245.863008591721,133510.503728423,26274.6376912431,6932486.67054548,6876309.43584169,-167508000.718836,-207905101.370148,-199997628468.621,-198038119923.492,0.0226398854671539,0.0999335657156799,0.22654936111823,0.0156931549123794,-0.0082357843410074
0.027,0.0515523727503434,-0.0261800133827438,9.85419540803264,-3.65344997407727,1431.28601156496,-216.193118621116,140325.903460531,33013.9882230792,6664979.85559233,6569385.2745098,-367505629.187457,-405943221.29364,-199998283181.199,-198394544203.667,0.0261800133827438,0.0999020508325904,0.262056816297141,0.0189786317563362,-0.00943673247630584
0.028,0.062145873181907,-0.0299357875187828,11.3567382219169,-3.85205976862985,1574.87482075329,-179.970361403673,146773.797454332,39347.3361295749,6197475.08481428,6064244.78111432,-567503912.368655,-604337765.497307,-199998428887.662,-198454625830.479,0.0299357875187828,0.0998581710688738,0.299783054289424,0.0227454400145985,-0.0106824664662849
0.029,0.0743147643349299,-0.0338710272136731,13.0060075412616,-4.01137258903399,1724.64443849677,-137.6998947872,152654.187511481,45076.3362569688,5529971.95800179,5360679.70270177,-767502341.256317,-802792391.327786,-199998345522.423,-198327106048.186,0.0338710272136731,0.0997980295547527,0.339395751246675,0.0270341062462972,-0.0119537022786435
0.03,0.088208760201895,-0.0379435206311279,14.80786708959,-4.12567597148444,1879.92736166598,-90.0852810401867,157767.075241268,50002.565246332,4662470.44398426,4458723.75834989,-967500686.77874,-1001119497.37597,-199998024286.451,-197965299727.935,0.0379435206311279,0.0997167997162798,0.38051281969625,0.0318854279376331,-0.013228726579268
0.031,0.103983071414179,-0.0421057283197157,16.7674130881051,-4.19006021229829,2039.85608876376,-38.0284557183978,161912.462337815,53927.7350393726,3594970.74506229,3358621.61110995,-1167498711.06519,-1199084797.10391,-199997227627.756,-197103002765.554,0.0421057283197157,0.099608585967106,0.422711836644488,0.037340048896197,-0.0144837657456453
0.032,0.121797537740574,-0.0463056851275936,18.8887742574054,-4.20061663462006,2203.36312013778,17.3705300352306,164890.350856073,56653.9637514696,2327473.42018322,2060985.31262327,-1367495938.69295,-1396187799.86946,-199994630483.9,-194311290007.55,0.0463056851275936,0.0994662862756324,0.465541510208548,0.0434379574857304,-0.0156934402582456
0.033,0.14181556058768,-0.0504881002002913,21.1749118195886,-4.1546354189094,2369.18095860456,74.8141921726166,166500.743868496,57984.4699491569,859980.166248324,567641.867750034,-1567490569.17685,-1590499089.87701,-17936904127.9244,53976677020.0233,0.0504881002002913,0.0992814648212754,0.508535004909315,0.0502179098728476,-0.0168313023572516
0.034,0.164202835755722,-0.0545956539722365,23.6274210185738,-4.05080020577401,2535.84969675697,132.819648902212,166573.989266134,57765.8583848051,-716478.854992486,-995868.883616964,-1585427473.30477,-1536522412.85699,199994498689.84,194213794595.141,0.0545956539722365,0.0990442452106398,0.551224898085968,0.0577167808473213,-0.0178704542068241
0.035,0.189125901166808,-0.0585704707396441,26.2463739039641,-3.88932600914558,2701.80954178751,189.83957801784,165098.129090938,56034.0972605255,-2201909.07895234,-2435284.39917638,-1385432974.61493,-1342308618.26184,199997090351.186,196845576922.011,0.0585704707396441,0.098743236880748,0.59315931490457,0.0659688507610893,-0.0187842354833908
0.036,0.216750593182801,-0.0623556503262625,29.0303094657191,-3.67192955237663,2865.5841440553,244.440516874772,162236.83637307,52960.4661483719,-3487343.50839168,-3679170.22897722,-1185435884.26374,-1145463041.33983,199997876729.204,197647477512.943,0.0623556503262625,0.0983655082698876,0.633917837898788,0.075005068466095,-0.0195469315792531
0.037,0.24724057928644,-0.0658966954456182,31.97638307753,-3.40166807803024,3025.88806927166,295.378722713329,158190.107902001,48741.5056449769,-4572780.45429082,-4725809.53156058,-985438007.53454,-947815563.82689,199998180724.262,197941055481.318,0.0658966954456182,0.0978966198283649,0.673125339374844,0.0848523593457347,-0.0201344351785474
0.038,0.280756072949862,-0.069142755110293,35.0805646774115,-3.08274408022272,3181.63588053612,341.607601875866,153157.941474064,43574.7785074164,-5458219.37146323,-5574654.56764681,-785439826.810278,-749874508.345572,199998235120.654,197956799333.324,0.069142755110293,0.097320729893478,0.710462767654671,0.0955330227560438,-0.0205248273283747
0.039,0.317452748197757,-0.0720476711777811,38.3378387654485,-2.72030779331894,3331.94213894645,382.278322214707,147340.335228382,37658.1794854857,-6143660.08071318,-6225550.67632572,-585441591.689623,-551917709.012248,199998037089.551,197669381241.53,0.0720476711777811,0.096620786933196,0.74567464688106,0.107064227924735,-0.0206988708301676
0.04,0.357480854168475,-0.0745708271694634,41.7424044019131,-2.32025932246724,3476.12140378741,416.739976301413,140937.287358006,31189.6148515275,-6629102.65385802,-6678633.6947172,-385443554.600072,-354248327.770717,199997272736.647,196669250287.795,0.0745708271694634,0.0957788213825785,0.778573238770584,0.1194576101674,-0.020640413886402
0.041,0.400984529673309,-0.0766777991899596,45.287875205433,-1.88905076579242,3613.68823244575,444.539427469715,134148.795805637,24366.6352013062,-6914547.57208977,-6934547.39734402,-185446281.863425,-157579077.482922,199992164474.121,190613997911.671,0.0766777991899596,0.0947763494905491,0.809039381682513,0.132718968760691,-0.0203367025688522
0.042,0.448101317753831,-0.0783408091240425,48.9674793508592,-1.43348875596652,3744.35717975855,465.420468042682,127174.857120028,17385.0672648727,-6999997.77171613,-6996819.4758711,14545882.6106958,33034920.4287497,-29057472814.6771,-10272313748.2942,0.0783408091240425,0.0935949004689355,0.837020059122176,0.146848067408132,-0.0197786011755133
0.043,0.498961879918374,-0.0795389814078978,52.7742576568153,-0.960540600018314,3868.03325157845,479.312203376618,120177.289377482,10403.0531969246,-6999980.62551278,-6968920.7123165,-14511590.2039813,22762606.6804555,28994435714.3082,-96408927641.9403,0.0795389814078978,0.0922166769065618,0.862522746167598,0.16183853770167,-0.0189607203502479
0.044,0.553689892002689,-0.0802584223799375,56.7012125266156,-0.477188211794405,3984.7093401463,486.230572946512,113174.885362819,3429.44563334129,-6999994.9978596,-6994362.56945702,14482845.5103269,-73646320.9614849,-28946121016.9304,158026137710.027,0.0802584223799375,0.0906253575370441,0.885606684057837,0.17767787857997,-0.0178814601868788
0.045,0.612402030094301,-0.0804922155569988,60.7413430058446,0.00958960516164262,4094.3854357294,486.157147330703,106177.307434212,-3575.40240697813,-6999985.21285774,-6988995.82156349,-14463275.5066035,84379816.748542,28906287420.4041,191547328711.215,0.0804922155569988,0.0888070527412801,0.90637188232668,0.194347515450233,-0.0165430051609984
0.046,0.675207970289485,-0.0802404335175291,64.8876500693382,0.492799330705366,4197.06154443991,479.109291454431,99174.908298171,-10490.2837653822,-6999995.34465414,-6808842.34045934,14443011.9138006,275927145.459757,-28870626703.059,195039770749.741,0.0802404335175291,0.0867514227819459,0.924946599656555,0.211822888551535,-0.0149513107055679
0.047,0.742210388696214,-0.0795101090532068,69.13313276324,0.96554179551618,4292.73765929162,465.26870103351,92177.3226883566,-17128.6559046533,-6999987.64609187,-6435395.30962471,-14427614.7892584,470966916.209498,28839332152.2884,195764360123.111,0.0795101090532068,0.0844529662575042,0.941472071102556,0.230073564783531,-0.0131160588906199
0.048,0.813504961429887,-0.07831505162801,73.4707920584453,1.4211948577036,4381.41378519331,445.008998808418,85174.9277902288,-23295.9403628194,-6999995.59480498,-5866546.21335365,14411717.36303,666731276.332609,-28810428542.467,195629203163.918,0.07831505162801,0.0819124842972582,0.95608199775515,0.249063372402683,-0.0110505385466471
0.049,0.889180364615828,-0.0766754735392536,77.8936270020026,1.85360753934159,4463.08991670451,418.899058435109,78177.3363160149,-28796.5160708128,-6999989.09171318,-5102000.33543909,-14398711.179437,862360479.496526,28784058445.114,194710950634.19,0.0766754735392536,0.0791387241392842,0.968874269495485,0.268750558001638,-0.00877143646414271
0.05,0.969318274386012,-0.0746174210166178,82.3946385619373,2.25729556062995,4537.76605802524,387.703381899436,71174.9452117862,-33434.8843413979,-6999995.77367006,-4142284.38062546,14385347.265677,1057071430.13072,-28759129603.262,192127895295.453,0.0746174210166178,0.0761502036754812,0.979871588191734,0.289087965093688,-0.00629853883839723
0.051,1.05399336688127,-0.0721720097651713,86.9668257863362,2.6276367653373,4605.442204611,352.381539268384,64177.3489234818,-37016.6116910754,-6999989.99120602,-2989149.00284702,-14373782.337585,1249199325.42617,28735752695.7775,181069196305.948,0.0721720097651713,0.0729772163167099,0.98896632960013,0.310023233547064,-0.00365434416702451
0.052,1.14327331824862,-0.0693744655518774,91.6031896409674,2.96106536614154,4666.11836023152,314.086097513302,57174.9613332229,-39350.9828318251,-6999995.89719571,-1649415.07926788,14361970.3581924,1430268521.73212,-28713237183.7206,-165962524475.762,0.0693744655518774,0.0696640131447087,0.995843656146684,0.331499019028084,-0.000863589584661073
0.053,1.23721880464323,-0.0662629726713453,96.2967291750212,3.25525928122642,4719.79452089299,274.141870123612,50177.3608816757,-40312.9240709728,-6999990.54542938,-302127.81977364,-14351266.8255282,1264305997.25635,28691673242.2347,-190039285000.141,0.0662629726713453,0.0662711567904283,0.999876505564723,0.353453231540243,0.00204730616266904
0.054,1.33588350222616,-0.0628773635924549,101.040445352392,3.50924543043376,4766.47069011053,233.88068150542,43174.9766483739,-40014.572106285,-6999995.97563379,867158.534982644,14340406.4167065,1074266712.25621,-28670572189.661,-193726503567.349,0.0628773635924549,0.0628780388325277,0.999989261114287,0.375819292069028,0.00505086756556021
0.055,1.43931408716623,-0.0592578021018558,105.827337223426,3.72330649903401,4806.14686423165,194.47066118102,36177.3724472502,-38642.5679657688,-6999990.85531191,1844561.99545518,-14330165.7729545,880540208.688864,28650011053.1814,-195053292286.171,0.0592578021018558,0.0595855497629202,0.994499544564607,0.398526406277301,0.00811919234242344
0.056,1.54755023563794,-0.055443616776548,110.650405750399,3.89879836696265,4838.82304664074,156.889003693915,29174.991510894,-36390.2447480169,-6999996.01555828,2627575.55800096,14319845.2802269,685486916.402693,-28629604973.6792,-195594630615.09,0.055443616776548,0.0565188877430712,0.980975015442427,0.421499854127913,0.0112245222717761
0.057,1.66062462382331,-0.0514723240254831,115.502649984873,4.03795710954182,4864.49923388453,121.918644768024,22177.3838171469,-33452.5248369171,-6999990.97276489,3215265.15909611,-14309759.6934523,489892285.787602,28609422909.526,-195730423352.368,0.0514723240254831,0.0538304894961602,0.956192754464079,0.444661294253629,0.0143397373028861
0.058,1.77856292790996,-0.0473788452343939,120.377070887675,4.14370415050962,4883.17542931463,90.1472457906465,15175.0062016869,-30024.9352721525,-6999996.02100358,3607292.23320752,14299663.2160737,294161862.435233,-28589127377.1747,-195565907203.652,0.0473788452343939,0.0517030637729483,0.916364365610053,0.467929081836092,0.0174387694031042
0.059,1.90138382409295,-0.043194919133295,125.266667511664,4.21945077106476,4894.85162956938,61.9668350327034,8177.39515772846,-26303.1564255947,-6999990.92147609,3803671.14204093,-14289464.1611011,98595955.2315814,28568783062.3693,-195088244389.277,0.043194919133295,0.0503527049166703,0.857847045253659,0.49121859870846,0.0204969342709892
0.06,2.0290989885729,-0.0389487097671435,130.164440816337,4.26890245550444,4899.52783805497,37.5738181604849,1175.02096801554,-22482.7020133362,-6999995.99410601,3804722.97507787,14279318.9012682,-96492289.1576953,-28548060347.2773,-194173902866.565,0.0389487097671435,0.05,0.778974195342871,0.514442594348449,0.0234911796639787
0.061,2.16171309755794,-0.0346646100632255,135.063389855949,4.2958634045262,4897.2040514099,16.9693050072086,-5822.59337669771,-18758.5874999816,-6999990.70537838,3611143.7344869,-14268741.446009,-290666192.02426,28527022750.264,-192487642420.082,0.0346646100632255,0.05,0.69329220126451,0.537511536391837,0.0264002495736708
0.062,2.2992238272618,-0.0303632406626856,139.956515588747,4.30404155791747,4887.88027318289,-0.0401753093011061,-12824.9639490074,-15324.8581352435,-6999995.93544925,3224233.72125259,14258281.304255,-483153834.444342,-28505313117.4402,-189060285514.354,0.0303632406626856,0.05,0.607264813253713,0.560333969259492,0.0292047639439575
0.063,2.44162185390587,-0.0260616432812393,144.836817070517,4.29685461891528,4871.55649992499,-13.8413197348888,-19822.5816293241,-12373.7113787988,-6999990.31070372,2646549.74405107,-14247031.8131852,-672214119.958697,28482996619.3205,-179877275973.88,0.0260616432812393,0.05,0.521232865624786,0.582816879465489,0.0318872141195236
0.064,2.58889085371732,-0.0217736671861292,149.697295258307,4.27723802721604,4848.23273542654,-25.0112868148207,-26824.9482898312,-10093.2482407227,-6999995.84420724,1884396.98610544,14235964.8061353,-852091395.932576,-28459647299.03,-110679479438.738,0.0217736671861292,0.05,0.435473343722583,0.604866066148115,0.0344318748111818
0.065,2.74100750293124,-0.0175105457483027,154.530949209616,4.24745775630804,4817.90897605677,-34.3089634401228,-33822.5694261852,-8653.34353249002,-6999989.70305062,976965.85045349,-14223682.4928947,-962770875.371314,28435334838.7823,165511812495.602,0.0175105457483027,0.05,0.350210914966054,0.626386515351777,0.0368246343334863
0.066,2.89794147778871,-0.0132816517839395,159.330779880317,4.20894621255538,4780.58522597093,-42.6273895344273,-40824.9317480091,-8130.17781763959,-6999995.71812412,96950.8813299772,14211652.3458876,-797259062.875711,-28409504625.5235,182321090168.063,0.0132816517839395,0.05,0.26563303567879,0.647282776573431,0.0390527484389737
0.067,3.0596554545392,-0.00909537664676932,164.089786329867,4.16223819280716,4736.26148124322,-50.8343717097908,-47822.5565573979,-8401.46961938612,-6999988.818091,-609147.636461703,-14197852.2796359,-614937972.707648,28382234071.2544,186950591027.911,0.00909537664676932,0.05,0.181907532935386,0.667459340085496,0.0411045406119601
0.068,3.2261051094385,-0.00495998613073465,168.80096951297,4.10707749718766,4684.93774656115,-59.6351152015663,-54824.9139292835,-9286.92781036366,-6999995.553335,-1130610.31365539,14184381.7916185,-427987381.679737,-28352737985.3962,188719175870.828,0.00495998613073465,0.05,0.0991997226146929,0.686821013544046,0.0429691080608
0.069,3.39723911875144,-0.000884324425664115,173.457328491384,4.04259422288086,4626.61401755475,-69.550816100043,-61822.5427480536,-10600.0786188805,-6999987.54053608,-1464238.10739972,-14168356.1937776,-239268205.808908,28321105465.6119,189206850210.844,0.000884324425664115,0.05,0.0176864885132823,0.705273296401849,0.0446360852945493
0.07,3.5729991587496,0.00312166496836135,178.051864218636,3.96749093500199,4561.29029968979,-80.915008188166,-68824.8942824423,-12152.4163541495,-6999995.34399705,-1608902.8881032,14152749.2718343,-50061355.5980643,-28286122948.6174,188787078631.563,0.00312166496836135,0.05,0.062433299367227,0.722722750653553,0.0460954783231935
0.071,3.75331990571454,0.00704660580394954,182.577575759274,3.88023105549124,4488.96658793844,-93.8723534173571,-75822.5276056282,-13754.8854069465,-6999985.65619952,-1564570.70438549,-14133373.6767831,138725723.033499,28247896437.6136,187371884886.055,0.00704660580394954,0.05,0.140932116078991,0.739077366463602,0.0473375717057421
0.072,3.93812903593524,0.0108775444276713,187.027464065642,3.77922783925718,4409.64288893811,-108.378596060787,-82824.8719659265,-15218.8646023342,-6999995.0816575,-1332159.03890896,14114522.7608305,326097607.919553,-28204344216.0775,184361662857.011,0.0108775444276713,0.05,0.217550888553427,0.754246921245559,0.0483529091423996
0.073,4.12734722571201,0.0145999939583757,191.39452820582,3.66303290813626,4323.31919667081,-124.201508845303,-89822.5105102396,-16357.2478934739,-6999982.73100471,-913880.5995609,-14089821.4552469,510459270.776565,28155596486.8285,177765904540.76,0.0145999939583757,0.05,0.291999879167514,0.768143330797355,0.0491323475257607
0.074,4.32088815135349,0.0181981663264731,195.671769131001,3.53052321242978,4229.99551964135,-140.923213580739,-96824.8455525575,-16986.2712068897,-6999994.75421654,-314538.376513955,14065775.0315816,688225175.317325,-28097536610.6232,158333261007.483,0.0181981663264731,0.05,0.363963326529462,0.780680991124483,0.0496671836687708
0.075,4.51865848918179,0.0216553897362628,199.852185914001,3.38108443567565,4129.67185027683,-157.945452560791,-103822.490342027,-16930.3081189104,-6999977.74749027,452853.429307112,-14031761.5790416,846558436.324809,28030329701.3494,-6459926782.74498,0.0216553897362628,0.05,0.433107794725256,0.791777109631725,0.049949352066415
0.076,4.7205579155288,0.0249547056422126,203.928779505079,3.21478452406242,4022.34820036453,-174.508510055943,-110824.81224869,-16055.2521259047,-6999994.34421864,1296181.90224055,13998568.1223078,840098509.542063,-27943754660.6383,-157311778790.956,0.0249547056422126,0.05,0.499094112844252,0.801352024399402,0.0499716904036721
0.077,4.92647910674343,0.0280796208258043,207.894548984004,3.03249811143363,3908.02455971531,-189.78220946992,-117822.464601291,-14365.2395986916,-6999967.65342665,2057624.52238713,-13945186.5383305,682786730.751107,27838028009.3717,-175522888505.065,0.0280796208258043,0.05,0.561592416516087,0.809329510321965,0.0497282619668192
0.078,5.136307739187,0.031014924806366,211.742495301077,2.83590320634114,3786.70094700738,-203.012152472647,-124824.765176651,-11995.4755256797,-6999993.82596029,2652649.80888571,13892841.4710411,507263842.246042,-27672547196.2137,-181596053321.099,0.031014924806366,0.05,0.620298496127319,0.815637070927681,0.0492146981555031
0.079,5.34992248924498,0.0337474371926072,215.465617548122,2.62735504710012,3658.37734736853,-213.604325622398,-131822.424673076,-9119.45980455786,-6999937.25808735,3069115.6244712,-13779705.7251726,325667788.924943,27447606656.8661,-184072588003.87,0.0337474371926072,0.05,0.674948743852143,0.82020621477481,0.0484285063298914
