Solution,N,Time_s,Jstraightness,Jvibration,JmodalEnergy,JmodalPeak,JaccelerationRMS,JaccelerationPeak,JjerkRMS,JjerkPeak,JresonanceBand,AccelerationRMSX,AccelerationRMSY,AccelerationPeakX,AccelerationPeakY,JerkRMSX,JerkRMSY,JerkPeakX,JerkPeakY,MaxContourError_mm,ContourRMSE_mm,ResonanceBandEnergy
No resonance suppression,587,0.587,1.91459707623966e-05,1.80422557044416,0.143523886289937,0.0537929012392676,0.10466704661453,0.10129298826121,0.200948761122993,0.199999986916224,1,0.26171918424238,0.26161604883027,0.506441497776465,0.506488384835637,0.502500028306276,0.502243777308691,0.999999932942935,0.999999936219302,0.0980586318884846,0.0407298358845208,1.240882112774e-05
50 Hz suppression (knee),587,0.587,2.12119261774145e-05,0.797326829489533,0.139706014030247,0.0541598060419706,0.103293370544232,0.101293015237252,0.196784678933665,0.199999898579567,0.00209004612259764,0.258658312767643,0.257808539953519,0.506420743998461,0.506509408374063,0.492705431157194,0.491217963511133,0.99999950349433,0.999999482301337,0.0996046352056332,0.0405788555418803,2.59350084840371e-08
