Signal,TargetFrequency_Hz,NoSuppressionPSD,SuppressedPSD,PSDReductionPercent,NoSuppressionFFTAmplitude,SuppressedFFTAmplitude,FFTAmplitudeReductionPercent
Acceleration X,10,426590.104044948,202909.233389971,52.4346131178441,1406.21554532997,969.83401349945,31.0323359231619
Acceleration Y,10,426216.452473994,177272.225060258,58.4079347403712,1405.59955617492,906.49800841307,35.5080894533053
Jerk X,10,1556447962.55748,693096658.565861,55.4693330429758,84940.3036115989,56681.7707078943,33.2686977820572
Jerk Y,10,1559259733.42044,644122155.766395,58.6905156363251,85016.9926205532,54642.5080905376,35.7275452750753
Modal response X,10,0.265705516373733,0.210237300198282,20.8758240824141,1.1098052932248,0.987191464704574,11.0482288441731
Modal response Y,10,0.118235636378241,0.02744373665468,76.7889466362864,0.740322081051879,0.356671269850971,51.8221489025158
