time,x,y,vx,vy,ax,ay,jx,jy,snapx,snapy,cracklex,crackley,POPx,POPy,contour_error,allowed_error,error_utilisation,modal_x,modal_y
0,0,0,2.38156310274637e-23,0,-1.19812117390256e-23,1.25950360789417e-25,-1.31920063321006e-20,0,1.96884720060858e-15,0,3.37712340324933e-27,8.93709635597917e-18,-3.73262922739977e-12,0,0,0.1,0,-1.37328332145436e-24,6.0848260504385e-26
0.001,2.66496615870869e-26,-8.62385284997698e-32,2.41251639074165e-23,1.26963887238506e-28,3.61575708983897e-20,1.27439876848749e-25,-5.76678272165121e-17,1.21943216979444e-23,1.96698088599487e-15,-2.3213692426651e-19,1.17554183024515e-10,8.93709635597917e-18,199999341661.269,123689582757.035,8.62385284997698e-32,0.1,8.62385284997698e-31,3.09411266369488e-24,6.83016877179829e-26
0.002,2.77776863418429e-10,1.71791087162548e-10,1.66666118051057e-06,1.03074652297529e-06,0.00833330590255286,0.00515373261487643,33.3332236102114,20.6149304595058,99999.6708306343,61844.7913785172,199999341.661269,123689582.757034,199999078280.589,36944716019.0383,1.71791087162548e-10,0.1,1.71791087162548e-09,2.73182081859573e-09,1.68949444739359e-09
0.003,1.77777188929729e-08,1.08741505968225e-08,5.33331555814993e-05,3.22610148457259e-05,0.133332883466651,0.0788453523906065,266.665744984911,150.46196588638,399998.551632197,204006.732145071,399998419.941857,160634298.776073,199998610450.361,-63989376132.4334,1.08741505968225e-08,0.1,1.08741505968225e-07,1.73606377839139e-07,1.06181996773616e-07
0.004,2.02499309370654e-07,1.17384861481243e-07,0.000404998592730636,0.000226498323184933,0.674997583026735,0.355416843473349,899.996608329764,424.120951397415,899996.276799234,332646.342854927,599997030.392218,96644922.6436393,199997616129.196,-99303606706.9181,1.17384861481243e-07,0.0999999999999985,1.17384861481245e-06,1.95674537672845e-06,1.13347299105192e-06
0.005,1.13777372292303e-06,6.06806148600757e-07,0.00170666038245621,0.000852616041220405,2.13332506882687,0.957830803126046,2133.32433634664,788.539154456341,1599992.11525605,379639.462145107,799994646.521414,-2658684.06327876,199994468904.307,-106457551812.882,6.06806148600757e-07,0.0999999999999515,6.06806148601051e-06,1.08415150693023e-05,5.76814865714014e-06
0.006,4.34026142613617e-06,2.08540908130491e-06,0.005208312702845,0.00226699174049773,5.20831100675945,1.93131084331886,4166.64618634745,1149.10634926766,2499983.99622962,323752.002175387,999989115.42572,-109116235.876161,169226791217.971,-97725737695.9563,2.08540908130491e-06,0.0999999999992936,2.08540908131964e-05,4.06437837733751e-05,1.9415645910035e-05
0.007,1.29599049431003e-05,5.52201860294044e-06,0.0129596872385527,0.00482145353450401,10.7986651600934,3.22003524862419,7194.82920549292,1402.01261055564,3584586.50726432,165772.897451248,1169215906.64369,-206841973.572117,-199992085733.741,-70636510461.0912,5.52201860294044e-06,0.0999999999937016,5.52201860328824e-05,0.000118868809044774,5.00634522258414e-05
0.008,3.26768864328541e-05,1.21922439448653e-05,0.0280002488146656,0.00876091685149521,19.9723239334202,4.66751745770755,11330.6916517901,1452.59176947732,4653806.37104114,-76387.3313514149,969223820.90995,-277478484.033208,-199995042308.359,-17180459489.389,1.21922439448653e-05,0.0999999999599587,0.000121922439497472,0.000292591703044121,0.000106928338370244
0.009,7.2753453515937e-05,2.3523499165538e-05,0.0544522706696731,0.0141302941980524,33.783122947453,6.0349532950249,16435.7774262349,1234.6017861944,5523032.67079691,-362456.045129318,769228778.601592,-294658943.522597,-199995637075.45,44728001514.6355,2.3523499165538e-05,0.0999999998015149,0.000235234992122286,0.000633865641184066,0.000198036012477771
0.01,0.000147072840726429,4.08595412712831e-05,0.0974041723441757,0.0207102343226855,53.1002883539751,7.04108090146399,22310.0918801533,732.270936222889,6192263.63086078,-634750.987894597,569233141.526141,-249930942.007962,-199995281479.846,84272771267.8857,4.08595412712831e-05,0.099999999188899,0.000408595416026953,0.00124250511937021,0.000327164352736921
0.011,0.000275007982717192,6.51839475305744e-05,0.162713601996922,0.0280019473447887,78.5930511030848,7.41783255220775,28753.6395348639,-13.4000607977079,6661499.131647,-842545.544268616,369237860.046295,-165658170.740076,-199993457614.944,103963341175.6,6.51839475305744e-05,0.0999999971641578,0.000651839493790883,0.00224447817968451,0.000490839172554627
0.012,0.000482090745198762,9.68562356524294e-05,0.256807441021402,0.0352666195466151,110.730646786379,6.9598818300347,35566.4253535982,-921.447466907095,6930740.26288582,-956222.044420892,169244402.431351,-61694829.5644756,-199981744056.476,111793613361.797,9.68562356524294e-05,0.0999999912859698,0.000968562440925117,0.00378583419669244,0.000676196462385172
0.013,0.000800481160634172,0.000135409020096387,0.386481809197295,0.0416047682980056,149.782317099157,5.55469893654649,42548.4575270236,-1889.88465721659,6999993.79328893,-962020.067304469,-30737341.6251247,50098783.7973214,61377539689.2175,111322405579.02,0.000135409020096387,0.0999999759775332,0.00135409052624982,0.00602280864686384,0.000860378771224761
0.014,0.00126923703347901,0.00017943664502131,0.558704251449108,0.0460572033640977,195.828206030041,3.19679247654301,49543.3122394482,-2808.30159835923,6999945.22150841,-856260.080717637,30640198.0640927,161421189.376341,-61214870496.3116,102754730230.475,0.00017943664502131,0.0999999396144594,0.00179436753375163,0.00910911874293352,0.00101180122375524
0.015,0.00193440444134827,0.000226590004745404,0.78047153768679,0.0477147172003175,248.874046960317,-0.00845418351937719,56548.3750815726,-3566.72529601695,6999977.98432435,-643461.526226058,-30574672.4322188,264175919.606816,61052190618.9306,83084353770.4118,0.000226590004745404,0.0999998597684595,0.00226590322496504,0.0131819214758966,0.00109328366479061
0.016,0.0028490292274506,0.000273681546601965,1.05878567000885,0.0458273564806837,308.919859096588,-3.84941907464112,63543.241094784,-4064.25147014453,6999929.40720159,-337743.429734037,30477518.1867118,347260273.377228,-60862058818.9925,45621740225.4395,0.000273681546601965,0.0999996959027858,0.00273682378862455,0.0183487903956739,0.00106675972418814
0.017,0.00407315720036419,0.000316895702856538,1.4006445672668,0.0399043704585738,375.96560856222,-8.0227646415804,70548.2655846091,-4220.76113981905,6999975.89597881,32327.7137559108,-30384540.6322807,392882013.602667,60627862207.3225,-10194099075.5189,0.000316895702856538,0.0999993786968428,0.00316897671751778,0.0246776227238614,0.000899038704059571
0.018,0.00567383411283939,0.000352089837650734,1.81305021048031,0.0297928983324511,450.011324165639,-12.1623063430492,77543.153853973,-3993.69143577439,6999905.28645019,420112.677820818,30243321.5750418,382687914.527148,-60349980666.1515,-60157495628.356,0.000352089837650734,0.099998795068421,0.00352094080143494,0.0321905300490308,0.000567901440221266
0.019,0.00772510567530671,0.000375156577781151,2.3030005196759,0.0157192090684599,531.056956633905,-15.8846666831432,84548.1224710996,-3392.26104996139,6999973.61769215,772721.844533789,-30106659.0911097,322530418.898792,59986519540.9915,-90319763434.2804,0.000375156577781151,0.0999977678655005,0.00375164951967474,0.0408622592222183,6.76494442274282e-05
0.02,0.0103080175250379,0.000382402835719277,2.87749744525851,-0.0017201150628162,619.102547575649,-18.8405750644976,91543.0405125031,-2473.32728988392,6999860.21837154,1050092.38171544,29879860.4498818,232210655.464512,-59538299501.62,-106070508345.829,0.000382402835719277,0.0999960291200604,0.00382418021079761,0.0506232401242373,-0.000586860457851482
