time,x,y,vx,vy,ax,ay,jx,jy,snapx,snapy,cracklex,crackley,POPx,POPy,contour_error,allowed_error,error_utilisation,modal_x,modal_y
0,2.88620223762152e-27,2.62923600982202e-31,-2.76672909443137e-49,0,6.18819460843771e-21,0,0,0,0,0,0,0,0,0,2.62923600982202e-31,0.1,2.62923600982202e-30,1.71734254046585e-27,9.50936106799041e-26
0.001,5.98029954184038e-27,2.62923600982197e-31,2.92546751179727e-23,3.6795148286097e-28,6.18819460843771e-21,0,1.16693260180517e-17,2.47753808153936e-21,2.66084913574639e-13,0,0,0,199999946677.992,-199900692286.14,2.62923600982197e-31,0.1,2.62923600982197e-30,2.89697954460081e-27,6.35789330606868e-25
0.002,2.77777703719434e-10,-2.77639850397417e-10,1.6666662223166e-06,-1.6658391023845e-06,0.00833333111158299,-0.00832919551192249,33.333324446332,-33.3167820476899,99999.9733389958,-99950.3461430698,199999946.677992,-199900692.28614,199999924730.645,-199846643771.94,2.77639850397417e-10,0.1,2.77639850397417e-09,1.09615154989661e-10,-1.09560756047426e-10
0.003,1.77777730075613e-08,-1.77688753580538e-08,5.33333189312366e-05,-5.33064008720189e-05,0.133333296870855,-0.133264876169335,266.666591912764,-266.52524829582,399999.88238231,-399774.36031518,399999871.408636,-399747336.05808,199999885802.072,-199731133043.416,1.77688753580538e-08,0.1,1.77688753580538e-07,7.01137033539835e-09,-7.00786117731087e-09
0.004,2.02499944006524e-07,-2.02394486195776e-07,0.000404999885845903,-0.000404783526352909,0.674999803784633,-0.6746239911759,899.999724299738,-899.461798813942,899999.696691982,-899387.262894967,599999757.210708,-599478469.101496,199999803165.178,-199363783938.518,2.02394486195776e-07,0.0999999999999985,2.02394486195779e-06,7.98071283712535e-08,-7.97655650311799e-08
0.005,1.13777744863802e-06,-1.13714732527979e-06,0.00170666615613923,-0.00170567592849699,2.13333266109736,-2.13199932395168,2133.3326001246,-2131.81559358274,1599999.35548528,-1598547.62396572,799999560.375886,-798842253.040014,199999541836.713,137401385161.37,1.13714732527979e-06,0.0999999999999515,1.13714732528034e-05,4.48027088235407e-07,-4.47778936989702e-07
0.006,4.34027644863649e-06,-4.33719784919981e-06,0.00520833165441074,-0.00520214773556799,5.20833151327045,-5.1905040473089,4166.66499277061,-4106.88411320825,2499998.68677952,-2328689.18442505,999999102.212599,-661440867.878644,169230456117.881,199104090010.748,4.33719784919981e-06,0.0999999999992936,4.33719784923045e-05,1.70739310889175e-06,-1.70618122512355e-06
0.007,1.29599530052453e-05,-1.29213424837486e-05,0.0129597389949229,-0.0128601095389634,10.7987136354712,-10.5636768936257,7194.86830667608,-6733.10971657083,3584613.01705106,-2890578.00729832,1169229558.33048,-462336777.867896,-199999346929.658,199448551392.451,1.29213424837486e-05,0.0999999999937015,0.000129213424845625,5.09246209369393e-06,-5.0772455157132e-06
0.008,3.26770182141757e-05,-3.23094919671961e-05,0.0280003735236133,-0.0272897062532404,19.9724267376058,-18.8108213871823,11330.7628784041,-9821.61468757102,4653842.90191671,-3253190.50946999,969230211.400821,-262888226.475445,-199999592526.231,199541239157.858,3.23094919671961e-05,0.0999999999599584,0.000323094919801333,1.28237186555406e-05,-1.2678906316658e-05
0.009,7.27537748484556e-05,-7.07790078944614e-05,0.0544525401129446,-0.0515628242348967,33.7833161191798,-30.2945318156026,16435.8876206002,-13172.9924370858,5523073.31705441,-3416308.11636651,769230618.87459,-63346987.317587,-199999642466.514,199561824113.197,7.07790078944614e-05,0.0999999998015131,0.000707790080349484,2.85109454573874e-05,-2.77334328336607e-05
0.01,0.000147073548157177,-0.00013982719367055,0.0974046968740328,-0.0890142133977073,53.1006121830169,-45.1779210660865,22310.2429733475,-16587.7137430922,6192304.11469575,-3379874.19162749,569230976.408075,136214836.79561,-199999614082.328,199541633592.297,0.00013982719367055,0.0999999991888912,0.00139827194804701,5.75450002635535e-05,-5.46948186548207e-05
0.011,0.000275009403437283,-0.000254334402385002,0.162714532523406,-0.143041965235465,78.5935457258601,-63.4245551974602,28753.8293072335,-19866.2235773898,6661535.28406266,-3143888.53803574,369231362.325747,335756470.387907,-199999465609.852,199482772792.222,0.000254334402385002,0.0999999971641285,0.00254334409597599,0.000107414492974769,-9.92924080971594e-05
0.012,0.000482093376829311,-0.000432527602807854,0.256808966761443,-0.216907961435253,110.731347924446,-84.7984518499369,35566.6470281908,-22808.9867514329,6930766.91358348,-2708390.68125172,169231896.715895,535239243.180129,-199998515013.738,199369764800.064,0.000432527602807854,0.0999999912858747,0.00432527640498855,0.000187934769695926,-0.000168490734950999
0.013,0.000800485706502499,-0.000695744400342222,0.386484150693653,-0.313538342057943,149.783250454089,-108.864120327932,42548.6968042966,-25216.5295169612,6999999.5527925,-2073466.55567155,-30766618.2978432,734609007.980193,61526159078.9404,199156263016.9,0.000695744400342222,0.0999999759772604,0.00695744567479128,0.000311388319386373,-0.000270365940994515
0.014,0.00126924442760313,-0.00106799755357579,0.558707646917585,-0.435324036559443,195.829382855027,-134.98665011044,49543.5674077866,-26889.4988581399,6999996.01403413,-1239279.41618291,30759540.7810972,933765270.997093,-61514740599.5817,198695864163.009,0.00106799755357579,0.099999939613756,0.0106799819849979,0.00049257641540002,-0.000413899486803504
0.015,0.00193441586457581,-0.00157534007763208,0.780476248503538,-0.583921419983158,248.875511745769,-162.331882137165,56548.6907354447,-27628.7796614637,6999998.18451543,-206166.213104314,-30755199.8184845,1132461135.1601,61503663670.9063,197252045551.623,0.00157534007763208,0.0999998597668038,0.0157534228678492,0.000748790109734648,-0.000608690211522442
0.016,0.00284904614646092,-0.00224503111441564,1.05879200304499,-0.760053223338894,308.921638359488,-189.866782547423,63543.5619306627,-27235.8399660627,6999994.8165324,1024920.9448316,30748463.8524218,1329713180.71172,-61490623919.959,22845799893.8665,0.00224503111441564,0.0999996958991757,0.0224503794159453,0.00109974036679202,-0.000864586152489132
0.017,0.004073181399625,-0.00310450321797644,1.40065285693669,-0.963311510614348,375.967760333062,-216.367591269289,70548.6825418014,-25542.2547975596,6999997.96842484,2366057.02549026,-30742160.0675372,1352558980.60559,61473996932.5736,-196631317321.977,0.00310450321797644,0.0999993786894653,0.0310452250670183,0.00156747437170733,-0.00119123803298678
0.018,0.00567386774626309,-0.00418014598275651,1.81306085622869,-1.19200116841495,450.01387958227,-240.509584028891,77543.5550963479,-22532.6901679869,6999992.80682359,3620300.34743486,30731836.8650364,1155927663.28361,-61453855563.3752,-198040324170.178,0.00418014598275651,0.0999987950541493,0.0418019635185901,0.00217628276547162,-0.00159758226220479
0.019,0.00772515130524533,-0.00549599718802491,2.30301394720468,-1.44312720082,531.059992477526,-261.047721092787,84548.6715123434,-18367.4327096053,6999997.71590694,4677207.84863339,-30722018.6983388,957887339.113436,61426137878.784,-198409878558.809,0.00549599718802491,0.0999977678391653,0.0549611987026008,0.00295259826940612,-0.00209129160781833
0.02,0.0103080781898096,-0.00707250689769066,2.87751417352473,-1.71254084506934,619.106101933784,-276.925169066497,91543.5459085476,-13244.3495045083,6999988.76614799,5535890.24846742,30704119.1804452,759477460.554627,-61390933358.0234,-198447295869.153,0.00707250689769066,0.099996029073402,0.0707278775290076,0.00392488612130411,-0.00267826099704492
0.021,0.0135106945087537,-0.00892548100342606,3.54355948095434,-1.99513554934662,714.152201623046,-287.28326250734,98548.6549120595,-7361.79507507508,6999997.41864942,6196144.06108747,-30686814.1775782,561030164.685474,61332011956.8413,-198185643001.155,0.00892548100342606,0.0999931856203566,0.0892608926103561,0.0051235267749844,-0.00336217234835625
0.022,0.0174280463623572,-0.0110652225772094,4.3081519087527,-2.28504529400482,816.198296275899,-291.461738259549,105543.530925613,-918.166872145065,6999976.61045027,6658081.40427236,30645197.7792631,362844521.684319,-61249484604.0096,-197141266083.131,0.0110652225772094,0.0999886760392376,0.110664757405801,0.00658069134485619,-0.00414414718671934
0.023,0.0221621798437355,-0.0134958715982005,5.17828939973068,-2.57584295978854,925.244370977842,-288.998604562031,112548.621887519,5888.47991528894,6999997.06592753,6922355.29291511,-30604286.8247466,165703255.601188,29666628988.5188,-178906577516.55,0.0134958715982005,0.0999817174822384,0.134983394345051,0.00833021030558523,-0.00502248841381963
0.024,0.0278221409853154,-0.0162149428831012,6.16097371987322,-2.8607381850966,1041.28912679339,-279.628784231747,119538.261248199,12863.8690730852,6984226.09359704,6998605.25975803,-937657.836227764,-13203321.9153626,33419377184.1123,-44058640773.1138,0.0162149428831012,0.0999712415217524,0.162196073953658,0.0104074359608162,-0.0059925119599251
0.025,0.0345239733601492,-0.0192130600448026,7.26319625439872,-3.1327695178756,1164.32073728614,-263.269648859134,126527.588409075,19848.5295650901,6999998.12435286,6963372.61745611,32481719.3478846,-57261962.6884764,-199990996016.088,-195766509132.214,0.0192130600448026,0.0999558179384707,0.192215525229652,0.0128490983321277,-0.00704646789749949
0.026,0.0423907095740968,-0.0224738669074021,8.49194713905679,-3.38495835715197,1294.34540541911,-239.957133583645,133510.495560432,26750.6434496799,6932484.3456927,6808227.40020152,-167509276.668203,-253028471.82069,-199997167341.669,-197462251488.02,0.0224738669074021,0.0999335657269316,0.224888071829759,0.0156931535738439,-0.00817354377965842
0.027,0.0515523683449531,-0.025974064097453,9.85419456011748,-3.61041765281583,1431.28589172431,-209.852775439646,140325.892406567,33399.4462387231,6664976.48535367,6456467.80263682,-367506444.009872,-450490723.30871,-199997949188.011,-197898113377.934,0.025974064097453,0.0999020508491845,0.259995304167122,0.0189786301342844,-0.00935992937722452
0.028,0.0621458678666921,-0.0296835765730716,11.3567372480412,-3.80251504676676,1574.87468805167,-173.308422841547,146773.782678385,39597.6856608092,6197471.06674979,5907028.02263914,-567504393.197883,-648388836.686645,-199998123132.573,-197961480768.047,0.0296835765730716,0.0998581710928779,0.297257362599431,0.022745438068788,-0.0105889446848381
0.029,0.0743147579768549,-0.0335659057690015,13.0060064266091,-3.95506878798799,1724.64428894276,-130.873536370565,152654.168528014,45147.525684977,5529967.61198562,5159658.44556847,-767502516.330456,-846350317.454692,-199998023478.58,-197777841344.049,0.0335659057690015,0.0997980295888733,0.336338361661841,0.0270341039327718,-0.0118412516874514
0.03,0.0882087526510446,-0.0375786790794029,14.8078658151628,-4.06254553118705,1879.92719093974,-83.2954805924352,157767.051877921,49851.0459982608,4662466.08391587,4214419.20744176,-967500539.809036,-1044128158.79874,-199997639683.184,-197272696819.067,0.0375786790794029,0.0997167997640304,0.376854042331171,0.0318854252073429,-0.0130951538545417
0.031,0.103983062499465,-0.0416743972174773,16.7674116305527,-4.1202582348582,2039.85589253466,-31.5194660459541,161912.434751985,53510.5223435,3594966.72426524,3071654.70023348,-1167498179.49222,-1241400855.61781,-199996687947.164,-196053429579.462,0.0416743972174773,0.0996085860330148,0.418381576098917,0.0373400456935118,-0.0143269821737549
0.032,0.121797527265432,-0.045801379396659,18.8887725891875,-4.1245638560966,2203.36289442353,23.3118146121605,164890.31960518,55928.801044328,2327470.20079944,1732227.12982594,-1367494867.43938,-1437454285.19727,-199993585305.876,-191874142998.395,0.045801379396659,0.0994662863654935,0.460471392571747,0.0434379537469802,-0.0155115659633597
0.033,0.141815548326131,-0.0499049059477559,21.1749099095478,-4.07306042932038,2369.18070025182,79.8591587512437,166500.710108042,56910.3220077223,859978.540707117,198835.773129474,-1567488452.74526,-1629328428.19566,-17936628186.9856,142052986148.269,0.0499049059477559,0.0992814649424437,0.502660853933685,0.0502179055250399,-0.016622786242932
0.034,0.16420282144928,-0.0539285568396499,23.6274188331196,-3.96477967517938,2535.84940419525,136.603262781921,166573.954984345,56318.1690644453,-716478.226131636,-1359466.16199206,-1585425080.93225,-1487275442.0474,199993427229.995,193067943483.285,0.0539285568396499,0.0990442453723614,0.544489552491445,0.0577167758072348,-0.0176342086695638
0.035,0.189125884522961,-0.0578157172921631,26.2463714090029,-3.80030426646946,2701.8092156125,192.001864022674,165098.096455619,54247.2431720101,-2201906.59344888,-2750207.63229781,-1385431653.70225,-1294207498.56411,199996523305.668,196047316384.541,0.0578157172921631,0.0987432370945069,0.585515717262012,0.0659688449350292,-0.0185197819821923
0.036,0.216750573875581,-0.0615111045241852,29.0303066287297,-3.5816894403843,2865.58378668425,244.666470766957,162236.806789203,50882.6063431609,-3487339.9854983,-3946391.47266965,-1185435130.39658,-1098160182.17957,199997462715.941,196996803346.721,0.0615111045241852,0.0983655085497363,0.625332044037402,0.0750050617505115,-0.0192545414966624
0.037,0.247240556958766,-0.0649621536055016,31.9763798689928,-3.3122835133921,3025.88768418659,293.401062876893,158190.082148959,46419.9675799593,-4572776.38453691,-4946053.25317586,-985437667.68064,-901163378.832848,199997825839.82,197335511361.461,0.0649621536055016,0.0978966201912062,0.663579125393923,0.0848523516285825,-0.0198152510093326
0.038,0.280756047216989,-0.0681202132473619,35.0805610716021,-2.99653271294561,3181.63547177474,337.206032246766,153157.919901555,41056.2218892606,-5458215.13929764,-5748548.87632797,-785439841.84082,-703827867.471386,199997890763.305,197315612073.291,0.0681202132473619,0.0973207303592637,0.699955836705019,0.0955330139186012,-0.0201809613611438
0.039,0.317452718651274,-0.0709415453545885,38.3378347407934,-2.63978434309798,3331.94171071179,375.27889653712,147340.317823131,34988.6450145425,-6143656.03575681,-6353718.93776271,-585441951.077515,-506512255.398095,199997654098.589,196864662717.182,0.0709415453545885,0.0966207875250076,0.734226527973883,0.107064217843668,-0.0203334812358139
0.04,0.357480820380484,-0.0733881274943836,41.7423999409767,-2.24808954134834,3476.12096009412,407.014466067828,140937.273754185,28414.4807262002,-6629099.15978503,-6761798.86180222,-385444296.978927,-309647592.680913,199996740898.926,195274645348.536,0.0733881274943836,0.0957788221265509,0.766224994888924,0.119457598716904,-0.0202577582238452
0.041,0.400984491200406,-0.0754282581067114,45.2878702945484,-1.82800607608869,3613.68777674978,432.00457587457,134148.785236061,21530.4038422823,-6914545.08631449,-6973809.13180886,-185447556.08,-114372947.332376,199990642282.294,184831051495.097,0.0754282581067114,0.0947763504156019,0.795855271657459,0.132718955814564,-0.0199421688066042
0.042,0.448101274140525,-0.077036964766001,48.9674739793423,-1.38640182509566,3744.3567144601,450.036714286871,127174.84814542,14530.2134120564,-6999997.32125334,-6995766.55339369,14543086.2022937,70458104.1627209,-29045534757.7955,-95582779339.2329,0.077036964766001,0.0935949016062741,0.82308932905419,0.146848052841619,-0.019378716468238
0.043,0.498961830699418,-0.078196217567594,52.7742518155707,-0.930263825963814,3868.03277756198,461.076804823785,120177.281444808,7553.74544752091,-6999977.00242994,-6973099.83890058,-14502448.5555018,-25124675.176512,28970920366.3839,7463832920.83429,0.078196217567594,0.0922166782889267,0.847961768071879,0.161838521392873,-0.0185631382028305
0.044,0.553689836704352,-0.0788949747784038,56.701206208177,-0.466573316385609,3984.7088605525,465.140123899032,113174.881704828,569.327243185546,-6999993.99080225,-6994492.59761668,14468471.8108822,-17660842.2556777,-28913764823.1113,183421463272.126,0.0788949747784038,0.0906253591976682,0.870561788409813,0.177677860410818,-0.0174949299298503
0.045,0.612401968237086,-0.0791291744745792,60.7413362058217,-0.00231348498748768,4094.38495193369,462.216903930669,106177.302989128,-6403.42553168028,-6999982.40140293,-6920442.70823629,-14445293.0122291,165760621.016449,28866576984.528,193734736627.954,0.0791291744745792,0.0888070547124403,0.891023519818348,0.194347495308014,-0.0161773357510971
0.046,0.675207901389821,-0.078901733446555,64.887642784184,0.455556820207983,4197.06105894732,452.388956095733,99174.9090373826,-13208.698806637,-6999994.40592289,-6657814.71890586,14421283.9722989,359495357.644403,-28824302072.1144,195384130813.371,0.078901733446555,0.0867514250931251,0.909515127409795,0.211822866329989,-0.0146173253209392
0.047,0.742210312268695,-0.0782224577398853,69.1331249926,0.900248398288239,4292.73717331649,435.919406828034,92177.3212231005,-19654.2018249185,-6999985.27298665,-6200627.29585478,-14403018.0998155,554879488.457774,28787172218.9762,195688711591.218,0.0782224577398853,0.0844529689330724,0.926225078029825,0.230073540384138,-0.0128255217493722
0.048,0.813504876988728,-0.0771077788021723,73.4707838020832,1.32533201703912,4381.41330086559,413.265524966248,85174.9323031005,-25544.7745912792,-6999994.70497698,-5547903.45160139,14384154.1191607,750568200.048991,-28752859714.185,195275913817.69,0.0771077788021723,0.0819124873536679,0.941343393336956,0.249063345735606,-0.0108160465436644
0.049,0.889180271676782,-0.0755802961217742,77.8936182630488,1.72493340510875,4463.0894351394,385.080029845585,78177.3375318974,-30684.8479572198,-6999986.98071491,-4699697.29464355,-14368705.5950243,945844113.866681,28721535749.4198,193883181159.882,0.0755802961217742,0.0791387275816965,0.955035523457856,0.26875052898681,-0.00860627487671713
0.05,0.969318172467683,-0.073668124512473,82.3946293431074,2.09392875395787,4537.76558112733,352.21105239257,71174.9531210098,-34879.3093314033,-6999994.91843522,-3656911.59019693,14352830.1543955,1139727295.02656,-28691909337.7822,189549859096.592,0.073668124512473,0.0761502074938207,0.967405433773123,0.289087933661621,-0.00621650164457665
0.051,1.05399325550684,-0.0714040460608658,86.9668160939109,2.42813973463915,4605.44173343126,315.701139726035,64177.3526327622,-37934.7656309042,-6999988.04294972,-2422409.36562207,-14339079.1833867,1329277154.12315,28664113375.8508,141729284031.263,0.0714040460608658,0.0729772204810753,0.97844293863429,0.310023199639774,-0.00366951985997589
