time,x,y,vx,vy,ax,ay,jx,jy,snapx,snapy,cracklex,crackley,POPx,POPy,contour_error,allowed_error,error_utilisation,modal_x,modal_y
0,2.63193640972723e-28,-7.67068467419091e-35,0,-1.40329529422833e-31,-7.03820065131089e-24,0,0,0,0,0,0,0,0,0,7.67068467419091e-35,0.1,7.67068467419091e-34,0,0
0.001,2.59674540647067e-28,-2.17036376164742e-34,5.63324849269202e-25,-1.40329529422833e-31,-7.03820065131092e-24,1.39770722187899e-27,-1.72387579508988e-18,9.1206483406253e-26,0,1.74807001334607e-22,0,1.04555903399187e-20,199999936640.94,-198424217246.331,2.17036376164742e-34,0.1,2.17036376164742e-33,-1.38766543140565e-30,0
0.002,2.77777689779085e-10,-2.75589190619906e-10,1.6666661386745e-06,-1.65353514371943e-06,0.0083333306933725,-0.00826767571859714,33.3333227734901,-33.0707028743886,99999.9683204701,-99212.1086231656,199999936.64094,-198424217.246331,199999910721.269,-195876374032.254,2.75589190619906e-10,0.1,2.75589190619906e-09,1.09615149488595e-10,-1.08751535630045e-10
0.003,1.77777721098618e-08,-1.76341695285433e-08,5.33333162215868e-05,-5.28918925722378e-05,0.133333290013974,-0.132176651363634,266.666577867975,-264.140982459429,399999.860322045,-395574.512885624,399999847.362209,-394300591.278586,199999864749.601,-53504804043.6212,1.76341695285433e-08,0.1,1.76341695285433e-07,7.0113699813537e-09,-6.95473380811974e-09
0.004,2.02499933481132e-07,-2.00480306717897e-07,0.000404999864402895,-0.000399943185316829,0.674999766967907,-0.662051022314124,899.999672662725,-865.78325832495,899999.640059055,-816627.506186021,599999712.11181,-447805395.322207,199999767166.972,191960819641.881,2.00480306717897e-07,0.0999999999999985,2.004803067179e-06,7.98071242229937e-08,-7.90110069679984e-08
0.005,1.13777738686956e-06,-1.11323745838188e-06,0.00170666606044306,-0.00164804930579917,2.13333253531075,-2.00278389880071,2133.33246330551,-1874.31999223176,1599999.23575435,-1168452.49168729,799999479.278782,-255844575.680326,199999458588.757,194167794492.924,1.11323745838188e-06,0.0999999999999515,1.11323745838242e-05,4.48027063910846e-07,-4.38354935353865e-07
0.006,4.34027619969515e-06,-4.12561326007866e-06,0.00520833134049048,-0.00479177740836288,5.20833117381444,-4.49588057471896,4166.66468179738,-3138.33347267706,2499998.44432751,-1327213.17012115,999998937.867539,-61676781.187402,169230400097.932,194066706117.936,4.12561326007866e-06,0.0999999999992936,4.1256132601078e-05,1.70739301094692e-06,-1.62281589872969e-06
0.007,1.29599522092773e-05,-1.17439315194203e-05,0.0129597381383368,-0.0110789795577724,10.7987128340909,-8.30001398323291,7194.86766174165,-4464.04058237225,3584612.58224402,-1291856.59824958,1169229337.96547,132389924.930534,-199999228596.588,192697627847.597,1.17439315194203e-05,0.0999999999937015,0.0001174393152016,5.092461780832e-06,-4.61364799373358e-06
0.008,3.26770160336534e-05,-2.77693813058296e-05,0.0280003714625162,-0.0218192012047955,19.9724250420906,-13.3798888094146,11330.7617082023,-5657.58594684864,4653842.30591119,-1063117.85939525,969230109.368883,325087552.778131,-199999518615.09,189187231526.498,2.77693813058296e-05,0.0999999999599584,0.000277693813169489,1.28237177993582e-05,-1.08929086452024e-05
0.009,7.27537695384638e-05,-5.72627826609651e-05,0.0544525356682617,-0.0381899474225718,33.7833129415344,-19.5069696258509,16435.8858156954,-6526.62882460041,5523072.65597253,-643436.690853872,769230590.753792,514274784.304629,-199999577617.86,178399611769.472,5.72627826609651e-05,0.0999999998015132,0.000572627827746242,2.85109433747482e-05,-2.24224559720783e-05
0.01,0.000147073536485173,-0.000106316262828907,0.0974046882384405,-0.0610445561297544,53.100606867941,-26.2621710146704,22310.2405041086,-6883.19485467372,6192303.45791739,-39962.1006645078,569231013.135932,692674396.0741,-199999544160.77,51745818901.6329,0.000106316262828907,0.0999999991888913,0.00106316263691247,5.75449956914564e-05,-4.15449999224084e-05
0.011,0.000275009380033646,-0.000181634924540143,0.162714517230768,-0.0907256922735451,78.5935376221909,-33.0477451112098,28753.8262112338,-6568.1954541509,6661534.69897294,678585.204860409,369231468.975162,744420214.975733,-199999368966.002,-168217238560.756,0.000181634924540143,0.099999997164129,0.00181634929691075,0.000107414483820793,-7.08090078015059e-05
0.012,0.000482093333541846,-0.000289944944361378,0.256808941724871,-0.126914821879051,110.731336454033,-39.1595869787079,35566.6434165333,-5545.43634822942,6930766.4834651,1338896.80055576,169232100.00916,576202976.414977,-199998246647.32,-180772790558.323,0.000289944944361378,0.0999999912858762,0.00289944969627541,0.000187934752794135,-0.000112724827444715
0.013,0.000800485631825458,-0.000437303461136314,0.38648411231986,-0.168601475547685,149.783235202024,-43.9470732968635,42548.6929088951,-3948.56685789256,6999999.4601506,1824713.38169158,-30766146.6381593,395430185.856653,61523912971.4829,-183870964694.032,0.000437303461136314,0.0999999759772649,0.00437303566188592,0.000311388290287444,-0.000169482873073411
