Signal,TargetFrequency_Hz,NoSuppressionPSD,SuppressedPSD,PSDReductionPercent,NoSuppressionFFTAmplitude,SuppressedFFTAmplitude,FFTAmplitudeReductionPercent
Acceleration X,50,0.326362446966793,0.0671278426010232,79.4315053018789,1.23207303206261,0.558775950874982,54.6474976455301
Acceleration Y,50,0.653713594139458,0.0164711174331406,97.4803770977376,1.74373353374083,0.276788405078394,84.1266799242772
Jerk X,50,30996.1984994376,6112.26906095699,80.2805848560175,379.699983363463,168.611655758277,55.5934518972903
Jerk Y,50,63047.4111671952,1563.48813608699,97.520139039586,541.526844883341,85.2773422021372,84.2524257092909
Modal response X,50,5.14187051960907e-06,9.80355208085685e-09,99.8093387991108,0.00489042867756249,0.000213539436112626,95.6335231491596
Modal response Y,50,2.34288236486348e-06,2.79210252406997e-10,99.988082617523,0.00330112221421744,3.60372831429967e-05,98.9083323547432
