Signal,TargetFrequency_Hz,NoSuppressionPSD,SuppressedPSD,PSDReductionPercent,NoSuppressionFFTAmplitude,SuppressedFFTAmplitude,FFTAmplitudeReductionPercent
Acceleration X,50,1.01361812925397,0.0401227247400621,96.0416330783672,2.18252062951389,0.434226557704995,80.1043549447819
Acceleration Y,50,0.121094481443079,0.014797502765229,87.7802005600192,0.754368158052341,0.263703192464167,65.0431702810725
Jerk X,50,98306.9415510124,4048.07108960151,95.8822123588283,679.693732142564,137.925713083845,79.7076673564329
Jerk Y,50,12870.8197283963,1407.46747111704,89.0646633173503,245.937229503739,81.3280493342177,66.93137940184
Modal response X,50,8.05532164634121e-06,1.78764154122731e-08,99.7780794337319,0.00615265574178975,0.000289842049341529,95.2891554231959
Modal response Y,50,2.37408463792553e-06,1.03833524158138e-09,99.9562637647793,0.00334017538732376,6.9853789288205e-05,97.9086790007104
