Signal,TargetFrequency_Hz,NoSuppressionPSD,SuppressedPSD,PSDReductionPercent,NoSuppressionFFTAmplitude,SuppressedFFTAmplitude,FFTAmplitudeReductionPercent
Acceleration X,50,1.61235513731687,0.0412314801349198,97.4427792500148,2.75502941676848,0.440565363094002,84.0086875148228
Acceleration Y,50,0.865955833836625,0.0169936964575196,98.0375793090707,2.01903458716137,0.282839340437699,85.9913573429491
Jerk X,50,156890.496190626,4922.34822646846,96.8625580605675,859.397737098894,152.223623160725,82.2871743094656
Jerk Y,50,84637.5343402022,1688.09982227627,98.0054950378269,631.215113764873,89.1445813228363,85.8773056318099
Modal response X,50,1.05147960088136e-05,2.98573341222514e-08,99.7160445709339,0.00703552180448601,0.000374905145977965,94.6712531579546
Modal response Y,50,7.48044020619304e-06,2.40820580577607e-09,99.967806629832,0.00593416291891607,0.000106473783563364,98.2057488980634
