time,x,y,vx,vy,ax,ay,jx,jy,snapx,snapy,cracklex,crackley,POPx,POPy,contour_error,allowed_error,error_utilisation,modal_x,modal_y
0,-2.61097285208952e-15,-2.71538923179527e-18,-1.61752482839117e-13,1.47612710407418e-16,-2.65913038035393e-12,1.19259716101807e-15,-2.2632344932934e-11,2.52368698427212e-15,-2.10795680823218e-10,8.85619068054853e-15,-0.000686682095931785,1.29851816771764e-08,-6.04369626138065e-07,9.77124480862978e-12,2.61097426407982e-15,0.1,2.61097426407982e-14,-8.80240416708532e-20,-2.74164698687299e-20
0.001,-5.38503681379746e-15,-5.28256892541269e-18,-3.2463602301692e-13,2.9811694061457e-16,-5.39111151801116e-12,2.35131815559434e-15,-3.8774945023173e-10,1.10785380828053e-14,-6.87076921132337e-07,1.30000970502744e-11,-0.00121242255709644,1.9923666313068e-08,199999937636.406,-198398533903.723,5.38503940482225e-15,0.1,5.38503940482225e-14,-5.8151843155147e-20,-5.31467092551254e-20
0.002,2.77769367717541e-10,-2.75553527009389e-10,1.66666565790333e-06,-1.65332111541287e-06,0.00833333072599463,-0.00826660557931832,33.3333229376994,-33.0664223172871,99999.9688163033,-99199.2669518614,199999937.634807,-198398533.903723,199999912111.574,-195806748128.424,2.75553527009389e-10,0.1,2.75553527009389e-09,2.73182890626091e-09,-2.70995513610476e-09
0.003,1.77777607706089e-08,-1.76318255433816e-08,5.33333158339428e-05,-5.28846774922576e-05,0.133333290679828,-0.132157698195173,266.666579256649,-264.099414242414,399999.862506897,-395501.174919796,399999849.746113,-394205282.032147,199999866840.211,-51241725022.6296,1.76318255433816e-08,0.1,1.76318255433816e-07,1.7360689808295e-07,-1.7218142305343e-07
0.004,2.0249991982144e-07,-2.00447349877468e-07,0.00040499986570062,-0.000399861179754977,0.67499977059688,-0.661843652112118,899.999677776619,-865.243517682055,899999.645673116,-815327.319463258,599999716.586156,-445447007.054776,199999770744.12,191826269381.862,2.00447349877468e-07,0.0999999999999985,2.00447349877471e-06,1.95675141924104e-06,-1.93685929706003e-06
0.005,1.1377773748396e-06,-1.11285521330051e-06,0.00170666606892453,-0.00164717621700094,2.13333254775308,-2.00099923614343,2133.33247686682,-1871.32329577572,1599999.24763133,-1164861.1918271,799999487.330189,-253620737.672914,199999466866.681,194063653229.003,1.11285521330051e-06,0.0999999999999515,1.11285521330105e-05,1.08415500810865e-05,-1.06005768706563e-05
0.006,4.34027620259053e-06,-4.12279812062716e-06,0.00520833137042641,-0.00478693096662998,5.20833120744108,-4.48893726522756,4166.66471264101,-3130.65091423445,2499998.46839486,-1321450.10288552,999998954.196844,-59557084.443911,169230405756.568,193954561292.072,4.12279812062716e-06,0.0999999999992936,4.12279812065628e-05,4.06439227320501e-05,-3.85525814004557e-05
0.007,1.29599522625983e-05,-1.17312602209015e-05,0.0129597382219092,-0.0110623006299633,10.79871291355,-8.28215797159158,7194.86772576037,-4449.55379912658,3584612.62546999,-1284029.90668339,1169229359.95343,134397476.848161,-199999240379.514,192549969759.796,1.17312602209015e-05,0.0999999999937015,0.000117312602216404,0.000118869245739262,-0.000107174574005495
0.008,3.2677016220303e-05,-2.77283459731422e-05,0.02800037166543,-0.0217760360076152,19.9724252103529,-13.3433042291785,11330.7618244771,-5634.29330575925,4653842.36523367,-1053357.44495533,969230119.573973,326947446.607957,-199999525979.791,188946598208.67,2.77283459731422e-05,0.0999999999599584,0.000277283459842451,0.000292592877428127,-0.000246164777489541
0.009,7.27537700314731e-05,-5.71559858852965e-05,0.0544525361076786,-0.038096849098572,33.7833132571246,-19.4419122413887,16435.8859951678,-6492.68592770916,5523072.72181774,-631936.699243039,769230593.59425,515894044.816627,-199999584083.868,177822517312.201,5.71559858852965e-05,0.0999999998015132,0.000571559859987436,0.000633868444861004,-0.000490180444789539
0.01,0.000147073537605453,-0.000106077690028894,0.0974046890940765,-0.0608674496475107,53.1006073961281,-26.157174906362,22310.2407497687,-6837.03851832518,6192303.52337006,-27131.395770312,569231009.510452,693716562.128828,-199999551136.818,44569207716.0479,0.000106077690028894,0.0999999991888913,0.00106077690889299,0.00124251114412055,-0.000873162998995972
0.011,0.000275009382314676,-0.000181158521151104,0.162714518747977,-0.0904183894455104,78.5935384278676,-32.8903026452293,28753.8265193712,-6509.88343174507,6661534.7573121,688869.770216539,369231458.373692,738285769.844875,-199999378611.837,-167970833133.891,0.000181158521151104,0.099999997164129,0.00181158526288526,0.00224448993660498,-0.00142095767777162
0.012,0.000482093337793997,-0.000289072420495505,0.256808944210883,-0.12641946002811,110.731337594846,-38.9397023482703,35566.6437761014,-5479.86591546175,6930766.52637987,1343170.12349447,169232079.761889,570314936.710984,-199998273394.755,-180489813916.843,0.000289072420495505,0.0999999912858761,0.00289072445685636,0.00378585524177318,-0.00214313410400915
0.013,0.000800485639192926,-0.000435814575317676,0.386484116132414,-0.167852974606278,149.783236719371,-43.6604511214575,42548.6932967965,-3881.61995926459,6999999.46944438,1823240.15324703,-30766193.6328675,389825122.794141,61524134714.3202,-183581816149.088,0.000435814575317676,0.0999999759772645,0.00435814680012284,0.0060228435600884,-0.00302557012619908
0.014,0.00126924431827501,-0.000626065750236899,0.558707596854673,-0.213135649483511,195.829365557562,-46.5731293926301,49543.5636918768,-1894.06421397867,6999995.34316868,2121274.36796663,30757941.0814528,206243306.645053,-61510791439.2745,-183758613543.863,0.000626065750236899,0.0999999396137664,0.00626066128294653,0.00910917290930957,-0.00402593968026512
0.015,0.00193441569587832,-0.000862713791879795,0.780476179139513,-0.260295203105801,248.875490294892,-47.3798391470822,56548.686207013,299.705371719836,6999997.88853049,2235638.36783975,-30752850.3578235,22484693.1011893,61497827788.5945,-181927741645.812,0.000862713791879795,0.0999998597668283,0.00862715001692405,0.0131820007066623,-0.00507352956244624
