Signal,TargetFrequency_Hz,NoSuppressionPSD,SuppressedPSD,PSDReductionPercent,NoSuppressionFFTAmplitude,SuppressedFFTAmplitude,FFTAmplitudeReductionPercent
Acceleration X,50,0.236494498163147,0.064596446155941,72.6858566868736,1.05060452427159,0.549076755254718,47.7370654161798
Acceleration Y,50,0.654230252171869,0.0157822748176083,97.5876574393778,1.7474069432974,0.271402314262376,84.4682822565513
Jerk X,50,22598.6261484945,5928.30958046214,73.7669469749732,324.765407986146,166.339037131481,48.7817873944946
Jerk Y,50,63293.6227734429,1466.14221262616,97.6835861997122,543.511481709986,82.7211940787218,84.7802306184101
Modal response X,50,4.71231706999662e-06,9.51047503733072e-09,99.7981783717848,0.00468971011012492,0.000210683173192069,95.5075437874676
Modal response Y,50,1.37058522622934e-06,2.70118166504461e-10,99.9802917643255,0.00252919182228822,3.55063183323144e-05,98.5961397621399
