Signal,TargetFrequency_Hz,NoSuppressionPSD,SuppressedPSD,PSDReductionPercent,NoSuppressionFFTAmplitude,SuppressedFFTAmplitude,FFTAmplitudeReductionPercent
Acceleration X,50,0.34857796559094,0.0550131291538155,84.2178408894686,1.27878363151893,0.508019376792875,60.273234324289
Acceleration Y,50,0.353473434213257,0.012922960189912,96.3440080812083,1.28773201446677,0.246222709689932,80.8793516877898
Jerk X,50,33737.4472164288,5065.8151963242,84.9845924505594,397.835205390178,154.160025833197,61.2502805823824
Jerk Y,50,34224.4549395572,1190.32282651965,96.5220108585459,400.696337943469,74.7273332661927,81.3506323392615
Modal response X,50,4.60099859195888e-06,1.07869123296181e-08,99.765552800897,0.0046459352563989,0.000224955014082339,95.1580252055277
Modal response Y,50,2.85187580521676e-08,3.04355793046659e-10,98.9327873517847,0.000365773642824934,3.77866063622935e-05,89.6694015264575
