time,x,y,vx,vy,ax,ay,jx,jy,snapx,snapy,cracklex,crackley,POPx,POPy,contour_error,allowed_error,error_utilisation,modal_x,modal_y
0,0,0,2.01948391736579e-25,0,5.04870979341448e-25,-3.38920282862366e-22,-1.23001716696957e-19,0,-3.94385771528834e-17,-5.77290752371549e-19,0,0,-3.26093798973925e-13,-3.49123335854785e-17,0,0.1,0,-1.19673354765648e-25,1.04432857899618e-26
0.001,0,1.04129639489174e-27,2.01948391736579e-25,2.0685905087158e-24,-1.09960899300567e-21,-3.39206244940509e-22,-3.00983883044197e-19,-3.21224160605996e-22,4.09661198366887e-16,3.57297192079942e-19,1.44995714092596e-11,0,199999437313,15394832603.7242,1.04129639489174e-27,0.1,1.04129639489174e-26,1.187140999049e-25,-5.24553058926712e-27
0.002,2.77776996268055e-10,2.1381711949617e-11,1.66666197760833e-06,1.28290271697702e-07,0.00833330988804166,0.000641451358488509,33.3332395521666,2.56580543395404,99999.7186564999,7697.41630186211,199999437.313,15394832.6037242,199999212071.544,-74589911112.2888,2.1381711949617e-11,0.1,2.1381711949617e-10,2.73182212511698e-09,2.10280313206624e-10
0.003,1.77777274483202e-08,1.2434507540588e-09,5.33331814064545e-05,3.35541583002635e-06,0.133332948823606,0.00651385741431561,266.66587887709,5.52898618563012,399998.762005271,-14202.7066505581,399998649.384543,-59195078.5085646,199998811970.688,-89214248749.2822,1.2434507540588e-09,0.1,1.2434507540588e-08,1.73606461389116e-07,1.21341348664388e-08
0.004,2.02499409702254e-07,7.56831254535157e-09,0.000404998797160262,7.05673488462979e-06,0.674997934099534,-0.00864161650798084,899.997100903081,-53.140301177424,899996.817375159,-118004.909533764,599997461.355231,-148409327.257847,199997961569.496,-67536399062.3327,7.56831254535157e-09,0.0999999999999985,7.56831254535169e-08,1.95674634659335e-06,7.23097096703265e-08
0.005,1.13777431191135e-06,-4.79989386555516e-09,0.00170666129517674,-5.45690424289533e-05,2.13332626898146,-0.148333276956192,2133.32564255077,-256.6059408505,1599993.25951514,-300182.436322777,799995422.924727,-215945726.320179,199995269764.835,-6408681377.83739,4.79989386555516e-09,0.0999999999999515,4.79989386555749e-08,1.08415206882715e-05,-5.82679664669802e-08
0.006,4.34026380088279e-06,-1.90619281760163e-07,0.00520831569855602,-0.000390286840139014,5.20831424801746,-0.59128841874552,4166.64915848908,-665.829353896339,2499986.31732228,-519332.503331875,999990692.689562,-222354407.698017,169227364518.689,61044568261.667,1.90619281760163e-07,0.0999999999992936,1.90619281761509e-06,4.06438060729284e-05,-1.87276805630869e-06
0.007,1.29599125401962e-05,-1.01092891383505e-06,0.0129596954189381,-0.00140980141530659,10.7986728208042,-1.5512995685799,7194.83538290926,-1286.16496636694,3584590.69227119,-711164.626899058,1169218057.20825,-161309839.43635,-199993231299.246,98763025079.8127,1.01092891383505e-06,0.0999999999937016,1.01092891389873e-05,0.000118868879117632,-9.66345432366493e-06
0.008,3.26769072609658e-05,-3.44157987840734e-06,0.0280002685220317,-0.00372860912298731,19.9723401747463,-3.21581669559077,11330.702898568,-2061.52400880421,4653812.13382982,-823092.953795501,969224825.909005,-62546814.3565371,-199995759763.119,115467699320.952,3.44157987840734e-06,0.0999999999599587,3.44157987978539e-05,0.000292591891462671,-3.2097476907519e-05
0.009,7.27535042940356e-05,-9.15634107538058e-06,0.0544523132381151,-0.00811401386838328,33.7831534545573,-5.69450049621378,16435.7948187252,-2896.64575322449,5523039.07985726,-827905.918491562,769229066.145886,52920884.9644152,-199996268282.044,119946266765.376,9.15634107538058e-06,0.0999999998015146,9.15634109355458e-05,0.000633866090913903,-8.30995340165757e-05
